,DEPT,CALI,BS,hole enlarged,GR,NPHS,PE,RT20,RT30,RT60,RT90,RXO,RT10,RHOB (kg/m3),Bulk_Density_gm/cm3,NN_predicted_Density,xgb_pred_Density
661,3105.1,221.4868,222,-0.51,91.567,0.0922,3.1639,60.0048,58.2453,56.2993,57.7925,64.0315,63.6071,2668.0708,2.6680708,2.652102971,2.6487784
662,3105.2,221.3242,222,-0.68,83.6579,0.0847,3.0498,73.6539,71.0532,68.4022,70.6512,79.4008,78.7858,2665.719,2.665719,2.652483437,2.6403635
663,3105.3,221.2647,222,-0.74,83.3886,0.082,3.0567,77.0059,74.1571,71.391,73.8839,83.0792,82.4343,2664.6509,2.6646509,2.654986239,2.643099
664,3105.4,221.5314,222,-0.47,85.9533,0.0791,3.1445,77.7028,74.782,72.0845,74.6768,83.6374,83.0073,2659.9392,2.6599392,2.666200411,2.689845
665,3105.5,221.5639,222,-0.44,92.3009,0.0834,3.3435,80.9842,77.7069,75.0463,77.963,87.1173,86.4628,2643.8362,2.6438362,2.685733767,2.689671
666,3105.6,221.3539,222,-0.65,92.7381,0.087,3.382,86.8651,82.9891,80.1055,83.484,94.0898,93.3175,2630.7375,2.6307375,2.679871802,2.6653569
667,3105.7,221.3263,222,-0.67,90.3256,0.086,3.3499,94.6115,89.8707,86.6639,90.6819,103.616,102.6545,2616.7346,2.6167346,2.671356085,2.675768
668,3105.8,221.2635,222,-0.74,83.615,0.08,3.2228,102.6427,96.7586,93.382,98.204,114.2449,113.0666,2594.6772,2.5946772,2.655780002,2.6660638
669,3105.9,221.3233,222,-0.68,81.9598,0.0799,3.1731,98.9332,93.3584,90.3301,94.9159,109.8926,108.8502,2589.5071,2.5895071,2.651656478,2.638309
670,3106,221.2906,222,-0.71,83.2363,0.0827,3.1469,92.5504,87.6003,85.0187,89.1431,102.1571,101.3053,2588.0913,2.5880913,2.649963625,2.6455336
671,3106.1,221.3921,222,-0.61,85.8128,0.0822,3.1564,86.7307,82.3406,80.1286,83.8433,95.1116,94.4117,2588.2983,2.5882983,2.658673189,2.680147
